 Secretaría; Código Departamento; Departamento; Código Municipio; Municipio; Código; Nombre;  Dirección; Teléfono; Nombre Rector; Tipo Establecimiento; Etnias; Sector; Genero; Zona; Niveles; Jornadas; Caracter; Especialidad; Licencia; Grados; Modelos Educativos;  Capacidades Excepcionales; Discapacidades; Idiomas; Número de Sedes; Estado; Prestador de servicio; Propiedad de la planta fisíca; Resguardo; Matricula contratada; Calendario; Internado; Estrato socio-economico; Correo Electrónico
CUNDINAMARCA;25;CUNDINAMARCA;25438;MEDINA;125438000213;INSTITUCION EDUCATIVA ALONSO RONQUILLO;CRA 6 NO 16 53;3118276819;HECTOR JESUS RODRIGUEZ COBOS;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"URBANA,RURAL";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,ÚNICA,FIN DE SEMANA";TÉCNICO/ACADEMICO;"COMERCIAL,ACADÉMICA";RECONOCIMIENTO OFICIAL;"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,A CRECER,EDUCACIÓN TRADICIONAL";"";"";"";7;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"ESTRATO 1";iedalonsoronquillo_medina@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25181;CHOACHÍ;225181000220;INSTITUCION EDUCATIVA DEPARTAMENTAL FERRALARADA;VEREDA FERRALARADA;3209475333.;ROSA EDELMIRA SALAZAR SALAMANCA;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,COMPLETA,ÚNICA,NOCTURNA,FIN DE SEMANA";TÉCNICO/ACADEMICO;"AGROPECUARIO,ACADÉMICA";RECONOCIMIENTO OFICIAL;"0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,SAT,SER";"CAPACIDADES EXCEPCIONALES";"";"";10;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";iedferralarada_choachi@secundinamarca.edu.co
CUNDINAMARCA;25;CUNDINAMARCA;25001;AGUA DE DIOS;225001000146;ESCUELA RURAL IBA¿EZ;VEREDA IBA¿EZ;8342140;P. GUSTAVO PADILLA VILLAMIL;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";NO@TIENE.
CUNDINAMARCA;25;CUNDINAMARCA;25815;TOCAIMA;225815000333;INSTITUCION EDUCATIVA DEPARTAMENTAL  SANTO DOMINGO;VEREDA SANTO DOMINGO;8340061;MANUEL ANTONIO HERNANDEZ RIOS;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";
CUNDINAMARCA;25;CUNDINAMARCA;25815;TOCAIMA;225815000171;INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL COPO;VEREDA COPO;8340061;FABIO EDILBERTO JARA CRUZ;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";NO@TIENE.
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;225120000251;ESCUELA RURAL LAS AGUILAS;VEREDA LAS AGUILAS;8689012;ALFONSO CABALLERO GARZON;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;EDUCACION MISIONAL CONTRATADA;EDUCACION MISIONAL CONTRATADA;NO APLICA;NO;A;"";"";NO APLICA
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;225120000162;NUÑEZ;NUÑEZ;0000000;ANGELA MARIA PEREZ VILLALBA;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;225120000073;ESCUELA RURAL SANTA LUCIA;VEREDA SANTALUCIA;918689012;OSCAAR ANTONIO CIFUENTES BERNAL;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;225120000049;ESCUELA RURAL ALTO ARIARI NO. UNO;VEREDA ALTO ARIARI;8689012;JAIRO RODRIGUEZ PRIETO;CENTRO EDUCATIVO;"";OFICIAL;MIXTO;"";"";"";NO APLICA;"";SIN REVISAR;"";"";"";"";"";0;CIERRE DEFINITIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"";
CUNDINAMARCA;25;CUNDINAMARCA;25524;PANDI;225524000247;INSTITUCION EDUCATIVA DEPARTAMENTAL SANTA HELENA;VEREDA SANTA HELENA ALTA;3133853986.;CARLOS JULIO PEDRAZA VELASQUEZ;INSTITUCION EDUCATIVA;"";OFICIAL;MIXTO;"RURAL";"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA";"MAÑANA,TARDE,FIN DE SEMANA";ACADÉMICO;"ACADÉMICA";RECONOCIMIENTO OFICIAL;"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26";"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL";"";"";"";4;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;"";"ESTRATO 1";iedsantahelena_pandi@secundinamarca.edu.co iedsantahelena.pandi@gmail.com 
